id,code,created_at
01a07757-9360-7221-8c6b-f940f2a4be8d,3pW18lezUZYYHVzzEgsootO2wucWaErg,2026-09-06 15:30:23.207086+00
01a07757-9473-7d30-9d67-8f642dd8d487,6NzdANfFzdQSORbIETmlzHDtatuPeAzA,2026-09-06 15:30:23.714305+00
01a07757-9518-7c42-8e5b-15d1b5187ce9,CPDFEE1GXrDsssxHw7feuBUd6uJ6YBdt,2026-09-06 15:30:23.642278+00
01a07757-951d-71c1-a636-b59d75ef6ae5,C9Lui4nfBme6rHGUzuL7aWg23hGNZvWE,2026-09-06 15:30:23.648065+00
01a07757-99b3-7472-b093-361ae1267c05,DiRRuGA6mgqG4Lo3m2DrWPUKAkFQmDEB,2026-09-06 15:30:24.821359+00
01a07757-99c9-73e2-aa69-04cb1d61b260,WsMaGuzSD5NnCDaUcHyE9NjoLWD8l7d0,2026-09-06 15:30:24.842888+00
01a07757-99f3-7412-bb47-27981c4a4c0c,QTclwEEfNVxe9UkG5MHfLsgyUA2bBpdF,2026-09-06 15:30:24.891281+00
01a07757-9a97-7620-99c1-eb0cd09bc438,kUp7REhPJdHf59Mhk8c0KtZ7SeUUY4VL,2026-09-06 15:30:25.049852+00
01a07757-9dfa-7a10-9a1e-7112f724ac6e,3AChtHmCjsHWDEUd2pzH1mXJbxiMSitg,2026-09-06 15:30:25.931288+00
01a07757-a0d6-7892-8cc3-9da563b7fc76,8eICam9iNz8zaIuLo52gu16UczEEr4MK,2026-09-06 15:30:26.649105+00
01a07757-abac-78f0-b8ac-7deb334c1ab2,3K6HXzPCnYzVmuWVf9haALWqBqKzEeKY,2026-09-06 15:30:29.42493+00
01a07757-ae26-7e60-bf48-a6d4d64c0f54,tx_template_code,2026-09-06 15:30:30.05806+00
01a07757-b114-7d00-afed-a40daab6ea1c,3In7QfThAODOtmyD9ofhJGkJ90whOWvs,2026-09-06 15:30:30.809742+00
01a07757-b114-7d00-afed-a4121ec14872,DSGtRnHMSEvZZbt6qQwIgbFptXCNnTWy,2026-09-06 15:30:30.808972+00
01a07757-b114-7d00-afed-a42f6ac30800,2IV3vVJXk2IJNrzaNM5raTn69sp2cJr9,2026-09-06 15:30:30.808764+00
01a07757-b118-73b0-880d-a87743c7c633,WFpvtozi5nrr14AsFfrHANjEd0QHgOCI,2026-09-06 15:30:30.809107+00
01a07757-b11d-7812-93c8-2863e2952b37,J50PTH3LYl3QH1BOQgmKBrsOTHATLp3l,2026-09-06 15:30:30.815864+00
01a07757-b13b-7892-a975-3d9634d97bdd,iCUxa4vx54ax6vwj5r8CTHNk2xdjk4wb,2026-09-06 15:30:31.489515+00
01a07757-b140-7b31-b394-23d95fa0f913,TJSgPPriMoztGot4nERuB3noFOMdAKk2,2026-09-06 15:30:31.261287+00
01a07757-b3e3-79e3-94be-9df3b704dac7,xTePkbxtjV2AK1FGwtvKq1d6hd0uuSxn,2026-09-06 15:30:31.528381+00
01a07757-b8de-7701-8cc3-46ef1acfd093,0zGBpTjVIQIfKxValzy2Rajz3pOeCP9u,2026-09-06 15:30:32.80039+00
01a07757-b936-70f0-b486-6b3ddfa1afce,qZ2679Ul1iDcpSRbwa5qv1rxXsa6sOkv,2026-09-06 15:30:32.887+00
01a07757-de90-76f3-a4d5-fcde77e25e5b,GENERAL_INCOME,2026-09-06 15:30:42.449878+00
